         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT      UZF_RECH_IN     UZF_RECH_OUT     UZF_GW_ET_IN    UZF_GW_ET_OUT      UZF_LEAK_IN     UZF_LEAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   6    11   214536.44228   1.4672770E+7        0.9054459       27.8260133              0.0              0.0              0.0              0.0        0.2089672        0.2741227       42.9030372       13.9318837       15.9008953              0.0              0.0       17.8863112              0.0              0.0   1.4647105E-5   2.4445112E-5
  NaN                   6    12   235990.08651   1.4908760E+7        0.6299027       28.7487138              0.0              0.0              0.0              0.0        0.2089654        0.2739607       42.9333656       13.9632576       17.1036177              0.0              0.0       17.8898952              0.0              0.0   2.4029809E-5   3.9473475E-5
  NaN                   6    13   259589.09516   1.5168349E+7        0.4997368       28.6408754              0.0              0.0              0.0              0.0        0.2089634        0.2738053       42.9593012       13.9857185       17.1334259              0.0              0.0       17.9009691              0.0              0.0   5.8960806E-5   9.6972780E-5
  NaN                   6    14   285548.00468   1.5453897E+7        0.4551258       30.9505783              0.0              0.0              0.0              0.0        0.2089610        0.2736580       42.9834586       14.0020902       19.4895218              0.0              0.0       17.9107266              0.0              0.0   1.4068858E-5   2.2283042E-5
  NaN                   6    15   314102.80515   1.5768000E+7        0.4162588       32.5669075              0.0              0.0              0.0              0.0        0.2089585        0.2735104       43.0031184       14.0143467       21.1482611              0.0              0.0       17.9217839              0.0              0.0   4.8345872E-5   7.4634810E-5
  NaN                   7     1    82713.08566   1.5850713E+7        6.7391951       15.0836441              0.0              0.0              0.0             20.0        0.2089575        0.2734721       43.0079393       14.0169383       17.3433497              0.0              0.0       17.9253457              0.0              0.0   4.1349087E-5   6.1440479E-5
  NaN                   7     2    90984.39423   1.5941697E+7        6.5263726       14.6499036              0.0              0.0              0.0             20.0        0.2089565        0.2734322       43.0125557       14.0194091       17.1232115              0.0              0.0       17.9283183              0.0              0.0   3.3120652E-5   4.9529112E-5
  NaN                   7     3   100082.83365   1.6041780E+7        6.3023934       14.1894337              0.0              0.0              0.0             20.0        0.2089554        0.2733907       43.0168520       14.0219252       16.8881236              0.0              0.0       17.9315469              0.0              0.0   2.7996410E-5   4.2152913E-5
  NaN                   7     4   110091.11701   1.6151871E+7        6.0685685       13.7304919              0.0              0.0              0.0             20.0        0.2089544        0.2733477       43.0206455       14.0240215       16.6647176              0.0              0.0       17.9349998              0.0              0.0   2.5080200E-5   3.8021691E-5
  NaN                   7     5   121100.22871   1.6272972E+7        5.9295222       13.4933890              0.0              0.0              0.0             20.0        0.2089533        0.2733037       42.9967800       14.0117956       16.5819638              0.0              0.0       17.9386709              0.0              0.0   6.0023601E-5   9.1336227E-5
